ESTADO,REGIÃO,GÊNERO,GRUPO ETÁRIO,ANO,2010
RONDÔNIA,NORTE,HOMENS,0-4,2010,69743
RONDÔNIA,NORTE,HOMENS,5-9,2010,76893
RONDÔNIA,NORTE,HOMENS,10-14,2010,80988
RONDÔNIA,NORTE,HOMENS,15-19,2010,79791
RONDÔNIA,NORTE,HOMENS,20-24,2010,77796
RONDÔNIA,NORTE,HOMENS,25-29,2010,74311
RONDÔNIA,NORTE,HOMENS,30-34,2010,67243
RONDÔNIA,NORTE,HOMENS,35-39,2010,58651
RONDÔNIA,NORTE,HOMENS,40-44,2010,55078
RONDÔNIA,NORTE,HOMENS,45-49,2010,47816
RONDÔNIA,NORTE,HOMENS,50-54,2010,37735
RONDÔNIA,NORTE,HOMENS,55-59,2010,28412
RONDÔNIA,NORTE,HOMENS,60-64,2010,20898
RONDÔNIA,NORTE,HOMENS,65-69,2010,14925
RONDÔNIA,NORTE,HOMENS,70-74,2010,10885
RONDÔNIA,NORTE,HOMENS,75-79,2010,6864
RONDÔNIA,NORTE,HOMENS,80-84,2010,3964
RONDÔNIA,NORTE,HOMENS,85-89,2010,163
RONDÔNIA,NORTE,HOMENS,90+,2010,748
RONDÔNIA,NORTE,MULHERES,0-4,2010,66693
RONDÔNIA,NORTE,MULHERES,5-9,2010,73672
RONDÔNIA,NORTE,MULHERES,10-14,2010,77624
RONDÔNIA,NORTE,MULHERES,15-19,2010,78212
RONDÔNIA,NORTE,MULHERES,20-24,2010,75541
RONDÔNIA,NORTE,MULHERES,25-29,2010,73846
RONDÔNIA,NORTE,MULHERES,30-34,2010,67456
RONDÔNIA,NORTE,MULHERES,35-39,2010,59369
RONDÔNIA,NORTE,MULHERES,40-44,2010,51887
RONDÔNIA,NORTE,MULHERES,45-49,2010,43992
RONDÔNIA,NORTE,MULHERES,50-54,2010,35068
RONDÔNIA,NORTE,MULHERES,55-59,2010,26652
RONDÔNIA,NORTE,MULHERES,60-64,2010,18786
RONDÔNIA,NORTE,MULHERES,65-69,2010,13664
RONDÔNIA,NORTE,MULHERES,70-74,2010,9666
RONDÔNIA,NORTE,MULHERES,75-79,2010,6322
RONDÔNIA,NORTE,MULHERES,80-84,2010,3423
RONDÔNIA,NORTE,MULHERES,85-89,2010,1581
RONDÔNIA,NORTE,MULHERES,90+,2010,809
ACRE,NORTE,HOMENS,0-4,2010,46211
ACRE,NORTE,HOMENS,5-9,2010,47692
ACRE,NORTE,HOMENS,10-14,2010,45015
ACRE,NORTE,HOMENS,15-19,2010,38932
ACRE,NORTE,HOMENS,20-24,2010,35637
ACRE,NORTE,HOMENS,25-29,2010,33794
ACRE,NORTE,HOMENS,30-34,2010,29499
ACRE,NORTE,HOMENS,35-39,2010,24141
ACRE,NORTE,HOMENS,40-44,2010,20194
ACRE,NORTE,HOMENS,45-49,2010,15967
ACRE,NORTE,HOMENS,50-54,2010,13047
ACRE,NORTE,HOMENS,55-59,2010,10348
ACRE,NORTE,HOMENS,60-64,2010,7812
ACRE,NORTE,HOMENS,65-69,2010,583
ACRE,NORTE,HOMENS,70-74,2010,4138
ACRE,NORTE,HOMENS,75-79,2010,2852
ACRE,NORTE,HOMENS,80-84,2010,1852
ACRE,NORTE,HOMENS,85-89,2010,923
ACRE,NORTE,HOMENS,90+,2010,522
ACRE,NORTE,MULHERES,0-4,2010,44247
ACRE,NORTE,MULHERES,5-9,2010,45809
ACRE,NORTE,MULHERES,10-14,2010,43811
ACRE,NORTE,MULHERES,15-19,2010,39034
ACRE,NORTE,MULHERES,20-24,2010,35595
ACRE,NORTE,MULHERES,25-29,2010,34482
ACRE,NORTE,MULHERES,30-34,2010,30361
ACRE,NORTE,MULHERES,35-39,2010,24246
ACRE,NORTE,MULHERES,40-44,2010,20243
ACRE,NORTE,MULHERES,45-49,2010,15918
ACRE,NORTE,MULHERES,50-54,2010,13203
ACRE,NORTE,MULHERES,55-59,2010,1037
ACRE,NORTE,MULHERES,60-64,2010,7603
